variable,x,y
layer.7,-59.3,0.0017514198552817106
layer.7,-56.748799999999996,0.0017514198552817106
layer.7,-54.197599999999994,0.0017514198552817106
layer.7,-51.6464,0.0017514198552817106
layer.7,-49.0952,0.0017514198552817106
layer.7,-46.544,0.0017514198552817106
layer.7,-43.9928,0.0017514198552817106
layer.7,-41.4416,0.0017514198552817106
layer.7,-38.8904,0.0017514198552817106
layer.7,-36.3392,0.0017514198552817106
layer.7,-33.788,0.0017514198552817106
layer.7,-31.2368,0.0017514198552817106
layer.7,-28.6856,0.0017514198552817106
layer.7,-26.1344,0.0017514198552817106
layer.7,-23.583200000000005,0.0017514198552817106
layer.7,-21.031999999999996,0.0017514198552817106
layer.7,-18.480800000000002,0.0017514198552817106
layer.7,-15.9296,0.0017514198552817106
layer.7,-13.3784,0.0017514198552817106
layer.7,-10.827200000000005,0.0017514198552817106
layer.7,-8.275999999999996,0.0017514198552817106
layer.7,-5.724800000000002,0.0017514198552817106
layer.7,-3.1736000000000004,0.0017514198552817106
layer.7,-0.622399999999999,0.0017514198552817106
layer.7,1.9287999999999954,0.0017514198552817106
layer.7,4.479999999999997,0.0017514198552817106
layer.7,7.031199999999998,0.0017514198552817106
layer.7,9.582399999999993,0.0017514198552817106
layer.7,12.133599999999987,0.0017514198552817106
layer.7,14.684799999999996,0.0017514198552817106
layer.7,17.236000000000004,0.0017514198552817106
layer.7,19.7872,0.0017514198552817106
layer.7,22.338399999999993,0.0017514198552817106
layer.7,24.889599999999987,0.0017514198552817106
layer.7,27.440799999999996,0.0017514198552817106
layer.7,29.992000000000004,0.0017514198552817106
layer.7,32.5432,0.0017514198552817106
layer.7,35.09439999999999,0.0017514198552817106
layer.7,37.64559999999999,0.0017514198552817106
layer.7,40.196799999999996,0.0017514198552817106
layer.7,42.748000000000005,0.0017514198552817106
layer.7,45.2992,0.0017514198552817106
layer.7,47.85039999999999,0.0018001946154981852
layer.7,50.40159999999999,0.001954390900209546
layer.7,52.952799999999996,0.0021210922859609127
layer.7,55.50399999999999,0.002301248488947749
layer.7,58.0552,0.0024958744179457426
layer.7,60.606399999999994,0.002706056460738182
layer.7,63.15759999999999,0.0029329543467611074
layer.7,65.7088,0.0031778074335306883
layer.7,68.25999999999999,0.003441937966272235
layer.7,70.8112,0.003726757364347577
layer.7,73.3624,0.004033769015222788
layer.7,75.91359999999999,0.004364578053355217
layer.7,78.46479999999998,0.004720890894532204
layer.7,81.016,0.00510452501475811
layer.7,83.56719999999997,0.005517412908375263
layer.7,86.1184,0.0059616100043058395
layer.7,88.66959999999999,0.006439298391342163
layer.7,91.22079999999998,0.00695279473438859
layer.7,93.772,0.00750455679371953
layer.7,96.32319999999997,0.008097187615931034
layer.7,98.8744,0.008733450435101986
layer.7,101.42559999999999,0.009416262619197369
layer.7,103.97679999999998,0.010148712433874607
layer.7,106.528,0.01093406043946743
layer.7,109.07919999999997,0.01177575159817934
layer.7,111.6304,0.012677415274083614
layer.7,114.18159999999999,0.013642878271639347
layer.7,116.73279999999998,0.014676166698336601
layer.7,119.284,0.01578151062130928
layer.7,121.83519999999997,0.016963358968496323
layer.7,124.3864,0.018226373940706253
layer.7,126.93759999999999,0.019575439393520355
layer.7,129.48879999999997,0.02101566456258297
layer.7,132.04000000000002,0.022552384063601494
layer.7,134.59119999999996,0.02419118583202362
layer.7,137.1424,0.025937849655747414
layer.7,139.6936,0.02779843471944332
layer.7,142.2448,0.029779184609651566
layer.7,144.796,0.031886618584394455
layer.7,147.3472,0.03412742540240288
layer.7,149.89839999999998,0.03650857135653496
layer.7,152.44959999999998,0.03903717175126076
layer.7,155.00079999999997,0.04172058030962944
layer.7,157.55199999999996,0.04456633701920509
layer.7,160.10319999999996,0.04758210480213165
layer.7,162.6544,0.050775762647390366
layer.7,165.2056,0.05415524169802666
layer.7,167.7568,0.05772865563631058
layer.7,170.308,0.06150410696864128
layer.7,172.8592,0.06548982858657837
layer.7,175.41039999999998,0.06969397515058517
layer.7,177.96159999999998,0.07412473112344742
layer.7,180.51279999999997,0.07879020273685455
layer.7,183.06399999999996,0.08369830250740051
layer.7,185.61519999999996,0.08885689079761505
layer.7,188.1664,0.09427344799041748
layer.7,190.7176,0.09995533525943756
layer.7,193.2688,0.10590940713882446
layer.7,195.82,0.11214225739240646
layer.7,198.3712,0.1186598613858223
layer.7,200.92239999999998,0.12546776235103607
layer.7,203.47359999999998,0.13257087767124176
layer.7,206.02479999999997,0.13997335731983185
layer.7,208.57599999999996,0.14767871797084808
layer.7,211.12719999999996,0.1556895226240158
layer.7,213.67839999999995,0.16400758922100067
layer.7,216.22959999999995,0.17263363301753998
layer.7,218.7808,0.1815674901008606
layer.7,221.332,0.1908077895641327
layer.7,223.88319999999993,0.20035216212272644
layer.7,226.43439999999993,0.2101970613002777
layer.7,228.98559999999998,0.22033759951591492
layer.7,231.53679999999997,0.2307678759098053
layer.7,234.08799999999997,0.2414805144071579
layer.7,236.63919999999996,0.25246715545654297
layer.7,239.19039999999995,0.2637178599834442
layer.7,241.74159999999995,0.2752217650413513
layer.7,244.2928,0.2869667410850525
layer.7,246.844,0.2989393174648285
layer.7,249.39519999999993,0.3111251890659332
layer.7,251.94639999999993,0.32350873947143555
layer.7,254.49759999999998,0.336073637008667
layer.7,257.04879999999997,0.34880244731903076
layer.7,259.59999999999997,0.3616771996021271
layer.7,262.15119999999996,0.3746790587902069
layer.7,264.70239999999995,0.3877885043621063
layer.7,267.25359999999995,0.40098610520362854
layer.7,269.8048,0.41425156593322754
layer.7,272.356,0.42756444215774536
layer.7,274.90719999999993,0.4409046769142151
layer.7,277.4583999999999,0.45425182580947876
layer.7,280.0096,0.4675857126712799
layer.7,282.5608,0.48088639974594116
layer.7,285.11199999999997,0.4941347539424896
layer.7,287.66319999999996,0.5073117017745972
layer.7,290.21439999999996,0.5203988552093506
layer.7,292.76559999999995,0.5333789587020874
layer.7,295.3168,0.5435276031494141
layer.7,297.868,0.5486106276512146
layer.7,300.41919999999993,0.5536047220230103
layer.7,302.9703999999999,0.5585095286369324
layer.7,305.5216,0.5633245706558228
layer.7,308.0728,0.5680495500564575
layer.7,310.62399999999997,0.5726841688156128
layer.7,313.17519999999996,0.5772283673286438
layer.7,315.72639999999996,0.581682026386261
layer.7,318.27759999999995,0.5860450863838196
layer.7,320.8288,0.5903176665306091
layer.7,323.38,0.5944998860359192
layer.7,325.93119999999993,0.5985918641090393
layer.7,328.4823999999999,0.6025937795639038
layer.7,331.0336,0.6065061092376709
layer.7,333.5848,0.6103290319442749
layer.7,336.13599999999997,0.6140629053115845
layer.7,338.68719999999996,0.6177082061767578
layer.7,341.23839999999996,0.6212653517723083
layer.7,343.78959999999995,0.6247348785400391
layer.7,346.3408,0.6281171441078186
layer.7,348.892,0.6314128041267395
layer.7,351.44319999999993,0.6346223950386047
layer.7,353.9943999999999,0.634372353553772
layer.7,356.5456,0.6294044256210327
layer.7,359.0968,0.6235694885253906
layer.7,361.6479999999999,0.6149072051048279
layer.7,364.19919999999996,0.6060591340065002
layer.7,366.75039999999996,0.597064197063446
layer.7,369.30159999999995,0.5879262685775757
layer.7,371.8528,0.5786496996879578
layer.7,374.40399999999994,0.5692393183708191
layer.7,376.95519999999993,0.5596999526023865
layer.7,379.5063999999999,0.5484587550163269
layer.7,382.0576,0.5366582274436951
layer.7,384.6088,0.5247370004653931
layer.7,387.1599999999999,0.5127078294754028
layer.7,389.71119999999996,0.5005843043327332
layer.7,392.26239999999996,0.48838067054748535
layer.7,394.81359999999995,0.4761112332344055
layer.7,397.3648,0.4637913703918457
layer.7,399.91599999999994,0.45143675804138184
layer.7,402.46719999999993,0.4390631318092346
layer.7,405.01839999999993,0.4266868829727173
layer.7,407.5696,0.41432446241378784
layer.7,410.1208,0.4019925594329834
layer.7,412.6719999999999,0.3897075355052948
layer.7,415.22319999999996,0.3774860203266144
layer.7,417.77439999999996,0.36534443497657776
layer.7,420.32559999999995,0.3532990515232086
layer.7,422.8768,0.34136536717414856
layer.7,425.42799999999994,0.3295589089393616
layer.7,427.97919999999993,0.31789472699165344
layer.7,430.53039999999993,0.3063868582248688
layer.7,433.0816,0.2950490415096283
layer.7,435.6328,0.28389427065849304
layer.7,438.1839999999999,0.27293479442596436
layer.7,440.73519999999996,0.26218169927597046
layer.7,443.28639999999996,0.25164562463760376
layer.7,445.83759999999995,0.2413361817598343
layer.7,448.3888,0.23126180469989777
layer.7,450.93999999999994,0.22143025696277618
layer.7,453.4912,0.21184827387332916
layer.7,456.0424,0.20252171158790588
layer.7,458.5936,0.19345511496067047
layer.7,461.1448,0.1846524327993393
layer.7,463.69599999999997,0.17611658573150635
layer.7,466.24719999999996,0.16784965991973877
layer.7,468.79839999999984,0.15985259413719177
layer.7,471.34959999999995,0.1521257758140564
layer.7,473.90079999999995,0.14466877281665802
layer.7,476.45199999999994,0.13748016953468323
layer.7,479.00319999999994,0.130558043718338
layer.7,481.55439999999993,0.12389979511499405
layer.7,484.1055999999999,0.11750223487615585
layer.7,486.6567999999999,0.11136141419410706
layer.7,489.208,0.10547308623790741
layer.7,491.7591999999999,0.09983255714178085
layer.7,494.3103999999999,0.09443450719118118
layer.7,496.8616,0.08927347511053085
layer.7,499.4127999999999,0.08434362709522247
layer.7,501.964,0.07963889092206955
layer.7,504.5152,0.07515285164117813
layer.7,507.0663999999999,0.07087906450033188
layer.7,509.6176,0.06681088358163834
layer.7,512.1687999999999,0.06294158846139908
layer.7,514.72,0.05926446616649628
layer.7,517.2712,0.05577251687645912
layer.7,519.8223999999999,0.052459001541137695
layer.7,522.3736,0.0493171252310276
layer.7,524.9248,0.046340133994817734
layer.7,527.476,0.04352135583758354
layer.7,530.0272,0.04085420444607735
layer.7,532.5784,0.03833220899105072
layer.7,535.1296,0.03594907745718956
layer.7,537.6808,0.03369848430156708
layer.7,540.2320000000001,0.03157442808151245
layer.7,542.7832,0.029571015387773514
layer.7,545.3344,0.027682507410645485
layer.7,547.8856000000001,0.02590334787964821
layer.7,550.4368,0.024228151887655258
layer.7,552.988,0.022651754319667816
layer.7,555.5392,0.021169062703847885
layer.7,558.0903999999999,0.019775282591581345
layer.7,560.6416,0.018465761095285416
layer.7,563.1927999999999,0.01723603531718254
layer.7,565.744,0.01608181744813919
layer.7,568.2952,0.014999006874859333
layer.7,570.8463999999999,0.013983695767819881
layer.7,573.3976,0.01303208339959383
layer.7,575.9488,0.012140611186623573
layer.7,578.5,0.011305860243737698
layer.7,581.0512,0.010524574667215347
layer.7,583.6024,0.009793655015528202
layer.7,586.1536,0.00911015272140503
layer.7,588.7048,0.008471282199025154
layer.7,591.2560000000001,0.007874354720115662
layer.7,593.8072,0.0073168654926121235
layer.7,596.3584,0.006796423811465502
layer.7,598.9096000000001,0.006310767028480768
layer.7,601.4608,0.005857754033058882
layer.7,604.0120000000001,0.005435360129922628
layer.7,606.5632,0.005041680298745632
layer.7,609.1143999999999,0.004674889612942934
layer.7,611.6656,0.0043332925997674465
layer.7,614.2167999999999,0.004015281330794096
layer.7,616.768,0.0037193400785326958
layer.7,619.3192,0.003444042056798935
layer.7,621.8703999999999,0.0031880431342869997
layer.7,624.4216,0.002950084861367941
layer.7,626.9728,0.002728966996073723
layer.7,629.524,0.002523578703403473
layer.7,632.0752,0.002332870615646243
layer.7,634.6264,0.0021558578591793776
layer.7,637.1776,0.001991616329178214
layer.7,639.7288,0.0018392793135717511
layer.7,642.2800000000001,0.0016980343498289585
layer.7,644.8312,0.0015671236906200647
layer.7,647.3824,0.001445828122086823
layer.7,649.9336000000001,0.001333483960479498
layer.7,652.4848,0.001229467336088419
layer.7,655.0360000000001,0.001133194426074624
layer.7,657.5872,0.001044119824655354
layer.7,660.1383999999999,9.617341565899551E-4
layer.7,662.6896,8.855631458573043E-4
layer.7,665.2407999999999,8.151589427143335E-4
layer.7,667.792,7.50108971260488E-4
layer.7,670.3432,6.900267326273024E-4
layer.7,672.8943999999999,6.345518631860614E-4
layer.7,675.4456,5.833485047332942E-4
layer.7,677.9968,5.361039657145739E-4
layer.7,680.548,4.925279063172638E-4
layer.7,683.0992,4.523472744040191E-4
layer.7,685.6504,4.15310962125659E-4
layer.7,688.2016,3.811844508163631E-4
layer.7,690.7528,3.497497527860105E-4
layer.7,693.3040000000001,3.2080436358228326E-4
layer.7,695.8552,2.9416006873361766E-4
