X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,4.43013005611112E-4,75.0301034260501,0.6348454132980205
3.0,3.0,train,4.8354892557523417E-4,80.98711679329294,0.6548922676012365
4.0,4.0,train,3.0999347329655163E-4,46.6821859062754,0.5488469173386386
6.0,6.0,train,2.4117918107506193E-4,33.277384286360636,0.4862539037714579
8.0,8.0,train,4.796685641520721E-4,80.57364045424454,0.6530690240073991
9.0,9.0,train,3.8689667766434664E-4,63.39859993976862,0.6029134251887571
10.0,10.0,train,3.2352721641605846E-4,49.59482672268708,0.5594043142262773
11.0,11.0,train,3.526824032084339E-4,55.967747337344434,0.5805495013837846
12.0,12.0,train,1.838713225057458E-4,23.76402310038976,0.4191406229130191
13.0,13.0,train,3.5905644334009994E-4,57.47317495377164,0.5849048003232031
14.0,14.0,train,4.695407565903894E-4,79.02994741699395,0.6482183006037637
15.0,15.0,train,4.935623851176719E-4,82.15350341133987,0.6595098865719566
16.0,16.0,train,5.07857099803624E-4,84.10010419931248,0.6658916698458215
17.0,17.0,train,5.416270110483866E-4,89.0183665858158,0.6800581833331449
18.0,18.0,train,5.09994468593527E-4,84.5523614337938,0.6668253828867947
19.0,19.0,train,6.626846161351293E-4,98.3965221541934,0.7222722431137794
20.0,20.0,train,5.074838722766644E-4,84.05575620285711,0.6657280878108132
22.0,22.0,train,4.954970394193026E-4,82.43017663950094,0.660387828673223
23.0,23.0,train,3.310147719876887E-4,50.75316988488276,0.5650356152959196
24.0,24.0,train,2.543152526788344E-4,36.27609189032379,0.4995090647953229
25.0,25.0,train,1.567891553376143E-4,20.31928479559253,0.38092204637718885
26.0,26.0,train,3.055883901014106E-4,45.939786743781326,0.5453006034578843
27.0,27.0,train,2.396320816752183E-4,33.00051538317174,0.48464641924774005
28.0,28.0,train,5.450763795982971E-5,6.1564731602085025,0.17621604225559914
30.0,30.0,train,4.5946067781356485E-4,77.7746555495613,0.6432538497706458
31.0,31.0,train,5.605413983922927E-4,91.19525950547008,0.6874800939554478
32.0,32.0,train,1.0552768225358709E-4,12.667759549765915,0.2928535605545374
33.0,33.0,train,4.2383151807646476E-4,71.4229529055969,0.6245245667455332
34.0,34.0,train,1.9361868225259215E-4,25.048024321223686,0.43176644386753443
35.0,35.0,train,4.493638003441547E-4,76.13147862571896,0.6381386412704779
36.0,36.0,train,1.6110504168091388E-4,20.891869927726685,0.3873460433871926
37.0,37.0,train,7.462983632959448E-4,99.28601174427541,0.7454682724065888
38.0,38.0,train,2.796384221540346E-4,40.7459164902495,0.523223036163304
39.0,39.0,train,5.232115509026155E-4,86.93253472048363,0.6724853381517784
40.0,40.0,train,4.4719325562149215E-4,75.72922534970863,0.6370197995968598
41.0,41.0,train,3.6716137114015536E-4,59.21316910323931,0.5903138736471322
42.0,42.0,train,5.958060665312838E-4,94.75565868400136,0.700436402267028
43.0,43.0,train,1.2726879679515553E-4,15.922844952274552,0.3330911883209184
44.0,44.0,train,4.554166488352164E-5,5.036145494627122,0.15162520778139932
45.0,45.0,train,2.0363324893673146E-4,26.87078040324345,0.44417921010035905
46.0,46.0,train,3.551328062052358E-4,56.45169912970826,0.5822346004872647
47.0,47.0,train,2.0111187415831251E-4,26.312104881749697,0.44110540127079445
49.0,49.0,train,1.4461166076276878E-4,18.382284370535935,0.3620479543872478
50.0,50.0,train,1.844466855515636E-4,23.84935483762249,0.4199014561820288
51.0,51.0,train,4.974468885911298E-5,5.503894503690352,0.16333305334975817
53.0,53.0,train,7.66500158283257E-4,99.51390361154392,0.7505029543730853
54.0,54.0,train,2.9131640704694814E-4,42.90506818297813,0.5334180049048254
55.0,55.0,train,5.482886906859611E-4,89.63560407592668,0.682712074112894
56.0,56.0,train,5.253823623685713E-4,87.1913373871232,0.6733966107070275
57.0,57.0,train,4.2641036366202053E-4,71.75818561899821,0.6259459655924539
58.0,58.0,train,2.64695368643238E-4,38.067271735198766,0.5095091586000462
59.0,59.0,train,2.5668151007158613E-4,36.703176888618614,0.50182440810349
60.0,60.0,train,3.6605649652735316E-4,59.00104426926723,0.5895848150715871
61.0,61.0,train,3.0788055561095114E-4,46.31699606791046,0.5471528412810287
62.0,62.0,train,3.4467894225204034E-4,53.63650108858371,0.5749496869456523
63.0,63.0,train,6.153627502769588E-4,96.03033025902937,0.7071688997507546
64.0,64.0,train,3.3394776293535993E-4,51.50959631395724,0.5672024409720802
65.0,65.0,train,5.76243074219629E-4,92.91906751399408,0.6933847178373924
66.0,66.0,train,4.784672112498385E-4,80.41699722436324,0.6525006392277553
67.0,67.0,train,2.3273508344927784E-4,31.638274481239364,0.47735610848955573
68.0,68.0,train,5.920844868844485E-4,94.27058452070638,0.699120012772842
69.0,69.0,train,1.3391742055080802E-4,16.891509956689276,0.3444975537058334
70.0,70.0,train,5.359065334638801E-4,88.36342215433676,0.6777435636351157
2.0,2.0,test,2.492479663360874E-4,35.405226064367994,0.49447768919064244
5.0,5.0,test,2.666335165469731E-4,38.508507690624455,0.5113322408169915
7.0,7.0,test,3.160552852035801E-5,3.2645614332704325,0.11034653077161732
21.0,21.0,test,4.0190160863953566E-4,66.87404557094075,0.6119862203364452
29.0,29.0,test,2.0108262864383122E-4,26.30665258332515,0.4410695485846279
48.0,48.0,test,3.485876895104453E-4,54.9986735360063,0.5777030949998607
52.0,52.0,test,1.3315100117705048E-4,16.80039098821761,0.3432026217400186
