Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.13639E-4,14.253103792,0.312968065,0.287687568,0.079365079,0.142857143
1.15459E-4,14.50521677,0.316394264,0.285501342,0.079365079,0.142857143
1.17251E-4,14.761336992,0.319733691,0.283315115,0.079365079,0.142857143
1.18991E-4,15.009412123,0.322945949,0.281228262,0.079365079,0.142857143
1.20892E-4,15.261805322,0.326422093,0.279141409,0.079365079,0.142857143
1.22362E-4,15.505244995,0.329084525,0.27715393,0.079365079,0.142857143
1.23788E-4,15.751339718,0.331649038,0.275166451,0.079365079,0.142857143
1.25263E-4,16.000716443,0.334279831,0.273178972,0.079365079,0.142857143
1.27155E-4,16.253500422,0.337623984,0.271191494,0.095238095,0.142857143
1.29162E-4,16.509918513,0.341134842,0.269204015,0.111111111,0.142857143
1.30791E-4,16.756982715,0.343957415,0.26731591,0.111111111,0.142857143
1.32367E-4,17.007173224,0.346664271,0.265427805,0.111111111,0.142857143
1.33955E-4,17.260094447,0.349370627,0.2635397,0.111111111,0.142857143
1.35329E-4,17.50250086,0.351694352,0.261750969,0.111111111,0.142857143
1.36594E-4,17.760655764,0.353818288,0.259862864,0.111111111,0.142857143
1.37851E-4,18.007523535,0.355915497,0.258074133,0.111111111,0.142857143
1.3954E-4,18.256749454,0.358712148,0.256285402,0.111111111,0.142857143
1.41309E-4,18.509370744,0.361614878,0.254496671,0.111111111,0.142857143
1.42395E-4,18.750422264,0.363383532,0.252807314,0.111111111,0.142857143
1.44656E-4,19.009307693,0.367035739,0.251018583,0.111111111,0.142857143
1.45629E-4,19.256025715,0.368594828,0.249329226,0.111111111,0.142857143
1.47634E-4,19.505352305,0.371783317,0.247639869,0.111111111,0.142857143
1.50033E-4,19.758103398,0.375555267,0.245950512,0.126984127,0.142857143
1.52331E-4,20.015190873,0.37912672,0.244261155,0.126984127,0.142857143
1.53475E-4,20.259738153,0.380889201,0.242671172,0.126984127,0.142857143
1.55061E-4,20.506738533,0.383317305,0.241081189,0.126984127,0.142857143
1.56439E-4,20.756310155,0.385410865,0.239491205,0.126984127,0.142857143
1.58493E-4,21.008680122,0.388505036,0.237901222,0.126984127,0.142857143
1.59847E-4,21.263509976,0.390527443,0.236311239,0.126984127,0.142857143
1.62411E-4,21.505700909,0.394322236,0.23482063,0.126984127,0.142857143
1.63835E-4,21.750409686,0.396409158,0.233330021,0.126984127,0.142857143
1.6505E-4,22.013702314,0.398177451,0.231740038,0.142857143,0.142857143
1.66172E-4,22.262100229,0.399803418,0.230249429,0.142857143,0.285714286
1.68183E-4,22.512881643,0.402693418,0.228758819,0.142857143,0.285714286
1.69268E-4,22.766151582,0.404240016,0.22726821,0.142857143,0.285714286
1.71116E-4,23.004360628,0.406858659,0.225876975,0.142857143,0.285714286
1.73258E-4,23.262796453,0.409864239,0.224386366,0.142857143,0.285714286
1.75035E-4,23.506639392,0.412334203,0.222995131,0.142857143,0.285714286
1.76243E-4,23.752345024,0.414001836,0.221603895,0.142857143,0.285714286
1.78046E-4,24.017668826,0.41647261,0.220113286,0.158730159,0.285714286
1.79736E-4,24.250244077,0.418770293,0.218821425,0.158730159,0.285714286
1.80777E-4,24.502304667,0.420176907,0.21743019,0.174603175,0.285714286
1.82378E-4,24.756472829,0.422327265,0.216038955,0.174603175,0.285714286
1.83746E-4,25.012795483,0.424150403,0.214647719,0.174603175,0.285714286
1.84684E-4,25.252389403,0.425395708,0.213355858,0.174603175,0.285714286
1.86173E-4,25.512115237,0.427359621,0.211964623,0.174603175,0.285714286
1.88286E-4,25.75563818,0.430122903,0.210672762,0.174603175,0.285714286
1.89844E-4,26.001345251,0.432144172,0.2093809,0.174603175,0.285714286
1.91114E-4,26.267954343,0.433780612,0.207989665,0.19047619,0.285714286
1.92338E-4,26.517167827,0.435349464,0.206697804,0.206349206,0.285714286
1.93813E-4,26.768336174,0.437228134,0.205405943,0.206349206,0.285714286
1.94457E-4,27.00137647,0.438044971,0.204213455,0.206349206,0.285714286
1.96085E-4,27.255164986,0.440098326,0.202921594,0.206349206,0.285714286
1.97823E-4,27.511122816,0.442273531,0.201629733,0.206349206,0.285714286
1.99217E-4,27.769373968,0.44400639,0.200337871,0.206349206,0.285714286
2.00044E-4,28.008906017,0.445029464,0.199145384,0.222222222,0.285714286
2.01777E-4,28.250000156,0.447160606,0.197952897,0.222222222,0.285714286
2.04093E-4,28.513923385,0.449984204,0.196661035,0.222222222,0.285714286
2.0526E-4,28.759684866,0.45139543,0.195468548,0.238095238,0.285714286
2.0695E-4,29.007009522,0.45342754,0.194276061,0.238095238,0.285714286
2.08505E-4,29.256117521,0.455282569,0.193083573,0.238095238,0.285714286
2.09982E-4,29.507554799,0.457034489,0.191891086,0.238095238,0.285714286
2.10995E-4,29.760305524,0.458229099,0.190698599,0.238095238,0.285714286
2.12175E-4,30.014173702,0.45961384,0.189506111,0.238095238,0.285714286
2.12945E-4,30.269220997,0.460513745,0.188313624,0.253968254,0.285714286
2.14256E-4,30.50412431,0.462038247,0.187220511,0.253968254,0.285714286
2.16013E-4,30.762380157,0.464069476,0.186028023,0.253968254,0.285714286
2.18288E-4,31.001300387,0.466675228,0.18493491,0.253968254,0.285714286
2.19767E-4,31.264224259,0.468357244,0.183742423,0.26984127,0.285714286
2.20442E-4,31.506274854,0.46912036,0.182649309,0.26984127,0.285714286
2.21875E-4,31.771919815,0.470734573,0.181456822,0.26984127,0.285714286
2.23375E-4,32.017173056,0.472413118,0.180363709,0.26984127,0.428571429
2.25235E-4,32.264027425,0.474480331,0.179270595,0.26984127,0.428571429
2.26549E-4,32.512552142,0.475931277,0.178177482,0.26984127,0.428571429
