x,y,raw,cumulative,logistic
1.0,1.0,1.11658E-5,0.997726914,0.042083279
2.0,2.0,2.13333E-4,29.31829029,0.45633322
3.0,3.0,3.88557E-5,4.176335137,0.132605845
4.0,4.0,6.95505E-7,0.035626228,0.002729007
5.0,5.0,3.17301E-4,48.98176699,0.555244274
6.0,6.0,1.011E-8,0.000104215,0.000039777
7.0,7.0,9.44375E-7,0.053032923,0.003701906
8.0,8.0,1.88877E-4,25.304357522,0.42632261
9.0,9.0,4.60188E-6,0.369719614,0.01778417
10.0,10.0,1.49288E-5,1.391676702,0.055478817
11.0,11.0,8.62144E-5,10.166381519,0.253292173
12.0,12.0,1.43709E-4,18.446358466,0.361195956
13.0,13.0,2.10701E-4,28.999679037,0.453255231
14.0,14.0,2.33795E-4,33.236301877,0.479131051
15.0,15.0,5.57654E-6,0.462646176,0.021469931
16.0,16.0,2.42347E-6,0.160115794,0.009445119
17.0,17.0,3.91643E-6,0.294641779,0.015175428
18.0,18.0,1.07924E-6,0.061625533,0.004228335
19.0,19.0,1.14094E-4,13.926032794,0.30982443
20.0,20.0,1.5181E-7,0.003841037,0.000596943
21.0,21.0,2.81267E-5,2.858755476,0.099638514
22.0,22.0,1.26059E-6,0.075264202,0.004935336
23.0,23.0,1.29487E-7,0.002928565,0.00050921
24.0,24.0,3.50178E-4,55.685903076,0.579439651
25.0,25.0,9.83708E-7,0.055649864,0.003855496
26.0,26.0,1.66653E-4,21.744292755,0.39602574
27.0,27.0,3.82882E-6,0.284553637,0.014840989
28.0,28.0,2.92062E-7,0.010038524,0.001147804
29.0,29.0,7.30419E-8,0.001303445,0.000287302
30.0,30.0,7.00109E-8,0.001246059,0.000275383
31.0,31.0,6.41556E-6,0.547142959,0.024620663
32.0,32.0,1.23135E-5,1.115647574,0.046208993
33.0,33.0,1.11595E-12,0.000000003,0.000000004
34.0,34.0,4.5288E-4,75.123917243,0.640528586
35.0,35.0,6.9387E-5,8.093812428,0.214456688
36.0,36.0,5.42948E-8,0.000875875,0.000213578
37.0,37.0,3.26454E-4,50.591695338,0.562255813
38.0,38.0,6.47357E-5,7.465202019,0.202999049
39.0,39.0,1.46634E-4,18.968861164,0.365857897
40.0,40.0,2.26089E-5,2.248879556,0.081688508
41.0,41.0,1.07575E-5,0.957195064,0.04060702
42.0,42.0,1.32097E-5,1.217707914,0.049406004
43.0,43.0,3.8686E-5,4.141442381,0.132103256
44.0,44.0,1.00559E-7,0.002021499,0.000395495
45.0,45.0,5.55025E-5,6.263359678,0.179235075
46.0,46.0,1.54243E-4,19.945291991,0.377673559
47.0,47.0,1.65078E-5,1.565559015,0.060989012
48.0,48.0,3.48258E-4,55.406643983,0.578099654
49.0,49.0,1.38767E-5,1.289569517,0.051771608
50.0,50.0,1.81393E-7,0.00507038,0.000713184
51.0,51.0,1.45681E-7,0.003617393,0.000572858
52.0,52.0,1.22846E-7,0.002690542,0.000483104
53.0,53.0,2.13609E-5,2.082004794,0.077529
54.0,54.0,4.23827E-4,69.596371209,0.625124631
55.0,55.0,1.5628E-4,20.209070015,0.380761967
56.0,56.0,3.14786E-4,48.602610313,0.553278574
57.0,57.0,3.40412E-4,53.926896062,0.572531807
58.0,58.0,6.48402E-6,0.552947633,0.024876837
59.0,59.0,4.37928E-6,0.348632352,0.016938484
60.0,60.0,1.48441E-4,19.175348272,0.368704164
61.0,61.0,4.25143E-4,69.851144586,0.625851095
62.0,62.0,3.61554E-4,57.925694645,0.587210001
63.0,63.0,4.25061E-5,4.639281847,0.143278839
64.0,64.0,2.59675E-5,2.631702838,0.092698715
65.0,65.0,4.95003E-6,0.401740558,0.019103894
66.0,66.0,8.70833E-7,0.048122724,0.003414609
67.0,67.0,5.82918E-5,6.678448238,0.186561989
68.0,68.0,1.06025E-8,0.00010738,0.000041714
69.0,69.0,7.55112E-6,0.653299829,0.028852783
70.0,70.0,2.33357E-4,33.04943556,0.478663785
71.0,71.0,5.31996E-6,0.433116179,0.020502342
