x,y,raw,cumulative,logistic
1.0,1.0,8.69794E-6,0.791673541,0.034847355
2.0,2.0,3.05866E-4,48.582947471,0.559406057
3.0,3.0,3.46674E-5,3.619033702,0.125802342
4.0,4.0,1.45883E-6,0.091958258,0.00601921
5.0,5.0,3.4023E-4,56.056610418,0.585459589
6.0,6.0,5.17057E-8,0.000677343,0.000214587
7.0,7.0,8.27309E-7,0.047285613,0.003422446
8.0,8.0,2.11871E-4,29.435107842,0.467939811
9.0,9.0,9.70462E-6,0.896326023,0.03872434
10.0,10.0,2.66318E-5,2.751090566,0.099545257
11.0,11.0,8.06644E-5,9.536682955,0.250847585
12.0,12.0,1.95188E-4,26.372346046,0.4475858
13.0,13.0,2.1413E-4,29.797941079,0.470581005
14.0,14.0,2.65552E-4,39.622943477,0.524334318
15.0,15.0,8.98195E-6,0.82344435,0.035944342
16.0,16.0,3.26891E-6,0.228480277,0.013387718
17.0,17.0,1.41243E-6,0.088939325,0.005828878
18.0,18.0,7.60518E-7,0.042366579,0.003147012
19.0,19.0,1.57829E-4,20.62394608,0.395827235
20.0,20.0,8.72293E-8,0.001602429,0.000361962
21.0,21.0,2.95158E-5,3.077775455,0.109148312
22.0,22.0,9.41664E-7,0.055758281,0.003893672
23.0,23.0,4.23309E-7,0.0194647,0.001754092
24.0,24.0,3.54482E-4,59.429267166,0.595383011
25.0,25.0,2.08194E-6,0.134997754,0.008568185
26.0,26.0,1.77298E-4,23.650969924,0.42395389
27.0,27.0,4.98029E-6,0.399494496,0.020254691
28.0,28.0,5.78435E-7,0.029800877,0.002395361
29.0,29.0,3.30721E-7,0.013360241,0.001370955
30.0,30.0,2.22014E-7,0.006940174,0.000920741
31.0,31.0,6.55772E-6,0.566847613,0.026500037
32.0,32.0,8.88542E-6,0.814505326,0.035571753
33.0,33.0,1.05239E-11,0.000000021,0.000000044
34.0,34.0,4.56441E-4,86.109232078,0.654541966
35.0,35.0,7.85454E-5,9.225620242,0.245878146
36.0,36.0,1.3521E-7,0.00326233,0.000560949
37.0,37.0,3.28286E-4,53.182903857,0.576760675
38.0,38.0,4.13242E-5,4.385939584,0.146421568
39.0,39.0,1.29248E-4,16.539793698,0.34917678
40.0,40.0,8.6807E-6,0.789934484,0.034780698
41.0,41.0,1.90014E-5,1.86156012,0.07310899
42.0,42.0,1.06973E-5,0.993457269,0.042516912
43.0,43.0,3.71168E-5,3.906559676,0.13350426
44.0,44.0,4.28768E-7,0.019678049,0.001776674
45.0,45.0,5.09664E-5,5.65084741,0.174620501
46.0,46.0,1.82181E-4,24.479326112,0.430602638
47.0,47.0,2.78334E-5,2.879317728,0.103571279
48.0,48.0,3.0764E-4,48.98175247,0.560830983
49.0,49.0,1.65786E-5,1.604008404,0.064387584
50.0,50.0,5.16746E-7,0.025776884,0.002140446
51.0,51.0,3.90781E-7,0.016659808,0.001619525
52.0,52.0,4.08673E-7,0.018136976,0.001693549
53.0,53.0,2.39666E-5,2.42218371,0.090484379
54.0,54.0,3.5397E-4,59.287541963,0.59503423
55.0,55.0,2.11062E-4,29.244837607,0.466987944
56.0,56.0,2.9449E-4,46.152284529,0.550044135
57.0,57.0,3.54723E-4,59.535670787,0.59554622
58.0,58.0,9.05002E-6,0.829755239,0.036206873
59.0,59.0,3.85457E-6,0.282216983,0.015748499
60.0,60.0,1.90699E-4,25.620629339,0.441840256
61.0,61.0,4.39144E-4,81.628758971,0.645755287
62.0,62.0,3.38103E-4,55.514014519,0.583937131
63.0,63.0,5.50168E-5,6.227405747,0.185917869
64.0,64.0,3.01659E-5,3.12264318,0.111285053
65.0,65.0,7.19033E-6,0.619523668,0.028982352
66.0,66.0,5.19087E-7,0.02598392,0.00215012
67.0,67.0,6.20119E-5,7.155324122,0.204717075
68.0,68.0,5.85082E-8,0.000815019,0.000242811
69.0,69.0,1.53611E-5,1.472396516,0.059942485
70.0,70.0,2.6462E-4,39.437332458,0.52345787
71.0,71.0,1.40395E-5,1.335447763,0.055069251
72.0,72.0,3.4224E-4,56.465892862,0.586888871
73.0,73.0,7.84197E-6,0.693338109,0.031526135
74.0,74.0,1.41432E-9,0.0000084,0.000005871
75.0,75.0,6.89432E-8,0.001018834,0.000286104
76.0,76.0,1.85239E-4,24.773609228,0.434688756
77.0,77.0,2.69131E-4,40.451601978,0.527672145
78.0,78.0,8.20681E-5,9.707548167,0.254103345
79.0,79.0,6.94668E-7,0.037635945,0.002875307
80.0,80.0,4.63751E-5,5.013401349,0.16142909
81.0,81.0,2.59753E-5,2.669454225,0.097330139
82.0,82.0,2.44507E-6,0.163581592,0.010047624
83.0,83.0,5.14309E-5,5.722480902,0.175931903
84.0,84.0,2.10392E-4,29.055160701,0.466196501
85.0,85.0,4.12889E-4,74.726960687,0.631529381
86.0,86.0,1.39569E-9,0.000008119,0.000005794
87.0,87.0,4.02292E-4,71.952672775,0.625458672
88.0,88.0,4.5524E-4,85.653278215,0.653946207
89.0,89.0,4.3762E-4,81.102651442,0.644959518
90.0,90.0,7.21795E-5,8.330555431,0.2305446
91.0,91.0,4.68389E-4,88.745783487,0.660361049
92.0,92.0,4.02783E-6,0.303616567,0.016444762
93.0,93.0,5.90809E-8,0.000826789,0.000245187
94.0,94.0,3.61734E-6,0.260982573,0.014793623
95.0,95.0,2.94919E-4,46.24070875,0.550404887
96.0,96.0,4.25525E-4,77.907924197,0.63851624
97.0,97.0,5.90442E-7,0.03073699,0.002444962
98.0,98.0,2.07593E-4,28.469370172,0.462864359
99.0,99.0,2.20161E-7,0.006851596,0.000913066
100.0,100.0,1.52357E-7,0.004174137,0.000632041
101.0,101.0,1.52851E-7,0.004204674,0.00063409
102.0,102.0,4.00136E-7,0.017449541,0.001658228
103.0,103.0,1.6784E-4,22.184692291,0.410624087
104.0,104.0,5.63422E-6,0.467606577,0.022853408
105.0,105.0,3.02509E-10,0.000001338,0.000001256
106.0,106.0,1.72063E-4,22.862725993,0.416651402
107.0,107.0,1.32562E-4,16.998016018,0.354951717
108.0,108.0,4.90937E-6,0.392569241,0.019972031
109.0,109.0,3.38763E-4,55.683253666,0.584410777
110.0,110.0,1.03014E-5,0.948336548,0.04100788
111.0,111.0,1.27217E-4,16.245264713,0.345586221
112.0,112.0,1.65474E-6,0.104071023,0.006822036
113.0,113.0,8.15318E-7,0.046544738,0.003373008
114.0,114.0,2.01398E-4,27.364393038,0.455341054
