Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
6.97337E-13,0.000000001,0.000000003,0.991950711,0,0
1.38699E-12,0.000000003,0.000000005,0.990460101,0,0
3.94348E-12,0.00000001,0.000000016,0.987578257,0,0
8.14502E-12,0.000000026,0.000000032,0.984994534,0,0
3.1009E-11,0.000000102,0.000000123,0.980423333,0,0
5.90985E-11,0.000000252,0.000000234,0.977143993,0,0
1.83482E-10,0.00000101,0.000000727,0.970684686,0,0
4.41322E-10,0.000002512,0.00000175,0.965715989,0,0
1.53701E-9,0.000010141,0.000006094,0.95716983,0,0
3.37016E-9,0.000025004,0.000013361,0.950909272,0,0
5.99529E-9,0.000050366,0.000023768,0.945543079,0,0
1.15363E-8,0.000100697,0.000045734,0.939680016,0,0
2.23681E-8,0.000251977,0.000088672,0.930537613,0,0
3.81695E-8,0.000502872,0.000151303,0.922190202,0,0
6.18022E-8,0.001003883,0.000244959,0.912352181,0,0
1.08362E-7,0.002503963,0.000429426,0.894564245,0,0
1.63736E-7,0.005005186,0.000648721,0.876180066,0,0
2.47833E-7,0.01000531,0.000981588,0.851734075,0,0
5.00166E-7,0.02500015,0.001979016,0.810593262,0,0
8.20661E-7,0.050040433,0.003243015,0.772334294,0,0
1.47564E-6,0.100089427,0.005816229,0.728013515,0,0
2.70483E-6,0.200253981,0.010609687,0.679121534,0,0
3.77478E-6,0.300308778,0.014744712,0.648414986,0,0
4.98488E-6,0.400467839,0.019379889,0.625658352,0,0
6.02315E-6,0.500522675,0.02332225,0.607373547,0,0
7.14747E-6,0.600269669,0.027555785,0.592268707,0,0
8.24978E-6,0.700763039,0.031670947,0.57925072,0,0
8.81798E-6,0.75014558,0.03377858,0.573487032,0,0
9.44291E-6,0.800423245,0.036086072,0.568021465,0,0
1.06203E-5,0.900370559,0.040403707,0.55808407,0,0
1.17778E-5,1.000532044,0.04461096,0.549239789,0,0
1.27857E-5,1.100837839,0.048244368,0.541091126,0,0
1.3864E-5,1.201135376,0.052100925,0.53363808,0,0
1.48207E-5,1.300369693,0.055496928,0.526781278,0,0
1.57593E-5,1.400063429,0.058804577,0.520321972,0,0
1.68385E-5,1.500540177,0.062579809,0.514160787,0,0
1.93422E-5,1.751568341,0.071221745,0.500347809,0,0
2.1715E-5,2.001115373,0.07926662,0.488224188,0,0
2.43083E-5,2.252341671,0.087900556,0.477392428,0,0
2.63387E-5,2.501486985,0.09454846,0.467554407,0,0
2.8864E-5,2.751524034,0.102682897,0.458511378,0,0
3.06933E-5,3.001410754,0.108484764,0.450163967,0,0
3.28671E-5,3.252134077,0.115282148,0.442313425,0,0
3.49921E-5,3.503402107,0.121827479,0.434959754,0,0
3.66514E-5,3.750705915,0.12687162,0.428102951,0,0
3.87172E-5,4.000186171,0.133071056,0.421544271,0,0
4.1079E-5,4.251066334,0.140051658,0.415283713,0,0
4.34622E-5,4.500813077,0.146982443,0.40942065,0,0
4.52546E-5,4.753153485,0.152122013,0.403756335,0,0
4.76885E-5,5.0047373,0.159002518,0.398390142,0,0
5.00935E-5,5.254270018,0.165692579,0.393322071,0,0.142857143
5.23415E-5,5.504900483,0.171850375,0.388452748,0,0.142857143
5.39843E-5,5.754604466,0.176293282,0.383782172,0,0.142857143
5.6237E-5,6.003106136,0.182308563,0.379310345,0,0.142857143
5.80411E-5,6.254121943,0.1870631,0.374937891,0,0.142857143
6.0089E-5,6.502304701,0.192393431,0.370764186,0.031746032,0.142857143
6.24468E-5,6.75424408,0.198444658,0.366689854,0.031746032,0.142857143
6.47249E-5,7.002713216,0.20420582,0.36281427,0.047619048,0.142857143
6.64882E-5,7.252475254,0.208608405,0.35903806,0.047619048,0.142857143
6.9059E-5,7.503624722,0.214940608,0.355361224,0.047619048,0.142857143
7.12533E-5,7.756140203,0.220265796,0.351783762,0.047619048,0.142857143
