Predictor variable,Categorical,Sample average
layer.1,false,3.4006857978446145E-4
layer.2,false,0.12656218916296014
layer.3,false,0.6892906730137174
layer.4,false,0.12937090482326255
layer.5,false,0.045244865145327315
layer.6,false,0.009191297996227466
layer.7,false,350.3333333333333
