X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,5.824073242390206E-4,92.47752797628299,0.7001179565106925
2.0,2.0,train,3.034573313154832E-4,47.544530445928956,0.5488265406233681
3.0,3.0,train,5.075874078231617E-4,85.719682880932,0.6704803652087878
4.0,4.0,train,2.874450837037687E-4,44.44953061413662,0.5353711617785764
5.0,5.0,train,3.08224377400317E-4,48.76501380279561,0.552683118538452
6.0,6.0,train,1.9927960585484658E-4,27.78750711031052,0.4440844718974401
7.0,7.0,train,5.94908368700822E-5,6.896259172817703,0.19255577133196908
8.0,8.0,train,3.9290359301835334E-4,66.06645668030637,0.6116501404253238
10.0,10.0,train,2.59482699427694E-4,39.067384553333355,0.5098436229306145
11.0,11.0,train,2.7939874577620195E-4,42.7715059611231,0.5283020913679939
12.0,12.0,train,1.799184461723489E-4,24.294420340060043,0.41901778496642916
13.0,13.0,train,2.6811088579369984E-4,40.60127778781369,0.5180147478732524
14.0,14.0,train,4.295604990148087E-4,73.21021306398183,0.6326151072236621
15.0,15.0,train,5.214640165957309E-4,87.2532317628489,0.6764116857972406
16.0,16.0,train,5.561340563225489E-4,90.26851944221403,0.6903377796955597
17.0,17.0,train,5.713954952963355E-4,91.51195071033553,0.6960950342392114
18.0,18.0,train,3.670752136508153E-4,60.89216868077225,0.5953811599930645
20.0,20.0,train,4.5730141015839246E-4,78.51379604734588,0.6470351771660052
21.0,21.0,train,5.884809794474522E-4,92.79328180341201,0.7022915865678644
22.0,22.0,train,4.2972332073849237E-4,73.242249263272,0.6327031806183971
24.0,24.0,train,2.1882546787715723E-4,31.096846793584042,0.46728779603800563
25.0,25.0,train,1.763125160638849E-4,23.762574789041608,0.41409739529126893
26.0,26.0,train,3.818038460067875E-4,64.01960713360236,0.6048216724227788
27.0,27.0,train,1.908728121120085E-4,26.217322151016685,0.43347105489221116
28.0,28.0,train,6.847305039204646E-5,8.060127614270844,0.21536739444886757
29.0,29.0,train,4.1476818302459E-4,69.90493936615627,0.6244335073811675
30.0,30.0,train,4.900132199387858E-4,83.75914581584598,0.6626490920426409
31.0,31.0,train,7.845907023875107E-4,99.50118980181186,0.7587524033879145
32.0,32.0,train,7.836544062715241E-5,9.286592492734068,0.23904408592799783
33.0,33.0,train,4.03602902590581E-4,67.78292886222567,0.6180125543885515
34.0,34.0,train,2.367118854475276E-4,34.83948828856803,0.48688632729268877
35.0,35.0,train,4.85622657510697E-4,82.8754281733061,0.6606341427848926
36.0,36.0,train,1.2811805374559246E-4,16.376541978041462,0.33931275333060096
37.0,37.0,train,5.027602525221668E-4,85.10872041047902,0.668365776848441
38.0,38.0,train,3.314576558411328E-4,53.6621005082375,0.5705730631463177
39.0,39.0,train,5.386791386428357E-4,88.73370989737154,0.6834797161993489
40.0,40.0,train,8.069217876420502E-4,99.81878526579713,0.7638521747107379
41.0,41.0,train,4.39314651233408E-4,75.42175730309428,0.6378178433505258
42.0,42.0,train,6.133634912381572E-4,94.53297140067367,0.7108770130896417
43.0,43.0,train,1.2534663876536583E-4,16.011891146968196,0.3344275035039605
44.0,44.0,train,4.981880317612434E-5,5.632245994636385,0.16646120521265098
46.0,46.0,train,4.05460727113276E-4,67.99509254341713,0.6190961396315546
47.0,47.0,train,1.9133538176566517E-4,26.313028951754486,0.4340655650626298
48.0,48.0,train,3.8009617549644687E-4,63.30793857710858,0.6037497566373929
49.0,49.0,train,1.6470084882618224E-4,21.938040643116246,0.397670788434591
50.0,50.0,train,1.4774714427390315E-4,19.51727282975853,0.37196219905465294
51.0,51.0,train,7.087729642780876E-5,8.37376921814254,0.22125628848331272
52.0,52.0,train,3.254575163162411E-4,52.32620446516099,0.566091362392604
53.0,53.0,train,7.046991922555421E-4,98.54695184396925,0.7385528652468495
54.0,54.0,train,3.34913626501227E-4,54.44892469078331,0.5731126701839045
55.0,55.0,train,5.620253712236624E-4,91.0005197416037,0.6925858929218018
56.0,56.0,train,4.432559877117125E-4,76.20345322939583,0.6398785372990383
59.0,59.0,train,2.0502373138975045E-4,28.709928461913673,0.4511105270782329
60.0,60.0,train,3.6786487593938074E-4,61.01046304731082,0.5958987330232063
61.0,61.0,train,2.4607846040946435E-4,36.29235588997313,0.49658504766397216
62.0,62.0,train,2.868327429345653E-4,44.32332188856316,0.5348406500141502
63.0,63.0,train,5.246135713635943E-4,87.57513876428955,0.6777282986579947
64.0,64.0,train,3.2607320203414464E-4,52.5069191971514,0.5665555406114056
65.0,65.0,train,4.5214969868918365E-4,77.67882367737978,0.6444434723261563
66.0,66.0,train,4.753511614347073E-4,81.71220728811983,0.6558249165813256
67.0,67.0,train,2.1221885240454505E-4,30.02869894506294,0.45966474356689524
68.0,68.0,train,6.990832237124501E-4,98.26576168222745,0.7370049396866644
70.0,70.0,train,3.912411113399927E-4,65.71917274681661,0.6106424606646832
9.0,9.0,test,2.935414581514298E-4,45.83729827213926,0.5405876043647941
19.0,19.0,test,4.4797934227980323E-4,77.01564479700856,0.6423174219891749
23.0,23.0,test,2.2258303746067922E-4,31.88768546965399,0.47152827933956903
45.0,45.0,test,1.6570709762438938E-4,22.159176181958802,0.39913065537960923
57.0,57.0,test,4.250736831757212E-4,72.269967845111,0.630171372891377
58.0,58.0,test,2.4416936204375405E-4,36.05873199536442,0.49463811546816605
69.0,69.0,test,1.0411799639637871E-4,12.853925564380438,0.29446720530345366
