Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
6.04725E-13,0.000000001,0.000000002,0.99244758,0,0
1.44659E-12,0.000000003,0.000000006,0.990956971,0,0
4.30127E-12,0.00000001,0.000000017,0.988273875,0,0
8.32209E-12,0.000000025,0.000000033,0.985789526,0,0
2.99529E-11,0.000000101,0.000000118,0.981118951,0,0
5.92859E-11,0.000000254,0.000000233,0.977740237,0,0
1.77471E-10,0.000001004,0.000000696,0.971082182,0,0
4.01222E-10,0.000002508,0.000001575,0.965914737,0,0
1.41721E-9,0.000010093,0.000005562,0.95667296,0,0
3.39599E-9,0.00002509,0.000013327,0.949915532,0,0
5.86722E-9,0.00005051,0.000023025,0.944350591,0,0
1.06076E-8,0.0001008,0.000041627,0.938288781,0,0
2.22102E-8,0.000250776,0.000087155,0.92894763,0,0
3.81831E-8,0.000502863,0.000149824,0.920600219,0,0
5.89134E-8,0.001003384,0.000231147,0.910265328,0,0
1.03304E-7,0.002502757,0.000405244,0.891781775,0,0
1.49314E-7,0.005013425,0.000585625,0.871608864,0,0
2.55554E-7,0.010002337,0.001001896,0.846666004,0,0
5.10081E-7,0.025013492,0.00199777,0.8070158,0,0
8.83144E-7,0.050011163,0.003453853,0.770247441,0,0
1.63173E-6,0.100052666,0.006362826,0.72940475,0,0
2.96923E-6,0.200026199,0.011518281,0.685680215,0,0
4.03967E-6,0.300104821,0.01560594,0.657159893,0,0
5.09226E-6,0.400228359,0.019592584,0.635396999,0,0
6.06953E-6,0.500332714,0.02326519,0.617609063,0,0
7.02227E-6,0.600284221,0.026819207,0.602404849,0,0
7.95705E-6,0.700042135,0.030281179,0.589088741,0,0
8.43576E-6,0.750098419,0.032044564,0.58302693,0,0
9.00972E-6,0.800648827,0.034150384,0.577263242,0,0
9.98162E-6,0.900972939,0.037695398,0.566729603,0,0
1.09668E-5,1.000482152,0.041262513,0.557289079,0,0
1.20465E-5,1.100396292,0.045141521,0.548643546,0,0
1.29533E-5,1.200580067,0.048375054,0.54069363,0,0
1.40367E-5,1.300292568,0.052209827,0.533339958,0,0
1.52633E-5,1.400799812,0.056514201,0.526483156,0,0
1.61788E-5,1.501461324,0.059701601,0.520123224,0,0
1.8716E-5,1.751405134,0.068423737,0.505813376,0,0
2.10541E-5,2.001373366,0.076319089,0.493391633,0,0
2.33111E-5,2.252317697,0.083814868,0.482162377,0,0
2.53613E-5,2.50020214,0.090518865,0.472026235,0,0
2.75061E-5,2.751324084,0.097428471,0.46258571,0,0
2.924E-5,3.001082669,0.102937667,0.453840803,0,0
3.14822E-5,3.25093998,0.109963256,0.44569214,0,0
3.37615E-5,3.502685305,0.116993197,0.438040346,0,0.142857143
3.58041E-5,3.752606272,0.123199389,0.430885422,0,0.142857143
3.77633E-5,4.003135523,0.129070638,0.424127994,0,0.142857143
3.94472E-5,4.250119168,0.134054543,0.417768061,0,0.142857143
4.15453E-5,4.501764338,0.140185165,0.411606877,0,0.142857143
4.3266E-5,4.752402658,0.145148319,0.405743814,0,0.142857143
4.51902E-5,5.000044242,0.150631328,0.400178873,0,0.142857143
4.76316E-5,5.250816374,0.15748751,0.39481268,0.015873016,0.142857143
4.97447E-5,5.503895838,0.163333053,0.389645235,0.015873016,0.142857143
5.16818E-5,5.752277228,0.168620915,0.384775912,0.031746032,0.142857143
5.32891E-5,6.003810795,0.172957921,0.380005962,0.031746032,0.142857143
5.52771E-5,6.252873846,0.178260238,0.375434761,0.047619048,0.142857143
5.73114E-5,6.50071317,0.183615938,0.371062307,0.047619048,0.142857143
5.94066E-5,6.752223638,0.189059385,0.366789228,0.047619048,0.142857143
6.10786E-5,7.005047771,0.193351837,0.362615522,0.047619048,0.142857143
6.30765E-5,7.253473081,0.198421453,0.358640564,0.047619048,0.142857143
6.50584E-5,7.503468073,0.203387906,0.354764981,0.047619048,0.142857143
6.76326E-5,7.755291337,0.209747407,0.350988771,0.047619048,0.142857143
6.92211E-5,8.00201316,0.213621378,0.347411309,0.047619048,0.142857143
7.13924E-5,8.254329284,0.218855782,0.343833847,0.047619048,0.142857143
7.32376E-5,8.500515484,0.223249539,0.340455133,0.047619048,0.142857143
7.60597E-5,8.754694924,0.229874517,0.337076419,0.047619048,0.142857143
7.81178E-5,9.001287966,0.23463528,0.333896452,0.047619048,0.142857143
7.96966E-5,9.254229662,0.238247467,0.330716486,0.047619048,0.142857143
8.15896E-5,9.504877743,0.242533921,0.327635894,0.047619048,0.142857143
8.38718E-5,9.753015638,0.247638079,0.324654676,0.047619048,0.142857143
8.64252E-5,10.00016973,0.253267737,0.321772831,0.047619048,0.142857143
8.83326E-5,10.253539839,0.257418561,0.318890987,0.047619048,0.142857143
9.02746E-5,10.503920684,0.261597491,0.316108516,0.047619048,0.142857143
9.20947E-5,10.759200816,0.265471551,0.313326046,0.047619048,0.142857143
9.3539E-5,11.000176608,0.268516995,0.310742323,0.047619048,0.142857143
9.50458E-5,11.254967627,0.271667353,0.308059227,0.047619048,0.142857143
9.7132E-5,11.50521119,0.27598461,0.305475504,0.047619048,0.142857143
9.88921E-5,11.750665105,0.279587356,0.302991156,0.047619048,0.142857143
1.01389E-4,12.000439384,0.284637636,0.300506807,0.047619048,0.142857143
1.02932E-4,12.255918184,0.287722992,0.298022459,0.047619048,0.142857143
1.04561E-4,12.50511219,0.290950644,0.295637484,0.047619048,0.142857143
1.06063E-4,12.757828461,0.29390219,0.293252509,0.063492063,0.142857143
1.07641E-4,13.003251701,0.296975746,0.290966908,0.063492063,0.142857143
1.09482E-4,13.252587058,0.300528491,0.288681308,0.063492063,0.142857143
1.10919E-4,13.505975986,0.303276848,0.286395707,0.063492063,0.142857143
1.12089E-4,13.751432054,0.305498974,0.28420948,0.063492063,0.142857143
1.14072E-4,14.000514963,0.309232921,0.282023254,0.063492063,0.142857143
1.15306E-4,14.252636629,0.311536395,0.279837027,0.063492063,0.142857143
1.17159E-4,14.508725351,0.31496597,0.2776508,0.063492063,0.142857143
1.19237E-4,14.75699546,0.318771002,0.275563947,0.063492063,0.142857143
1.20988E-4,15.009264927,0.321945891,0.273477094,0.063492063,0.142857143
1.23149E-4,15.253738149,0.32582168,0.271489615,0.063492063,0.142857143
1.25198E-4,15.502483965,0.329457235,0.269502137,0.063492063,0.142857143
1.26482E-4,15.754157781,0.331715614,0.267514658,0.063492063,0.142857143
1.27667E-4,16.008218676,0.333785541,0.265527179,0.079365079,0.142857143
1.29144E-4,16.252250447,0.336347419,0.263639074,0.079365079,0.142857143
1.3116E-4,16.512810854,0.339814861,0.261651595,0.079365079,0.142857143
1.32731E-4,16.750457394,0.342491238,0.259862864,0.079365079,0.142857143
1.34874E-4,17.0052369,0.346106211,0.257974759,0.095238095,0.285714286
1.36732E-4,17.263504861,0.349209226,0.256086654,0.095238095,0.285714286
1.38521E-4,17.511282618,0.352170279,0.254297923,0.095238095,0.285714286
1.40631E-4,17.762815602,0.355625791,0.252509192,0.095238095,0.285714286
1.42268E-4,18.003480201,0.35828337,0.250819835,0.095238095,0.285714286
1.43864E-4,18.260855633,0.360851253,0.249031104,0.095238095,0.285714286
1.4538E-4,18.507071531,0.363272336,0.247341747,0.111111111,0.285714286
1.46986E-4,18.755697199,0.365818374,0.24565239,0.111111111,0.285714286
1.48847E-4,19.00737017,0.368741668,0.243963033,0.111111111,0.285714286
1.50698E-4,19.262359568,0.371623631,0.242273676,0.111111111,0.285714286
1.52023E-4,19.504370124,0.373669292,0.240683693,0.111111111,0.285714286
1.53338E-4,19.764005394,0.375687192,0.238994336,0.111111111,0.285714286
1.55096E-4,20.011034612,0.378365506,0.237404353,0.111111111,0.285714286
1.56447E-4,20.260282256,0.380407007,0.235814369,0.111111111,0.285714286
1.57906E-4,20.511877645,0.382596828,0.234224386,0.126984127,0.285714286
1.59759E-4,20.750440229,0.385357489,0.232733777,0.126984127,0.285714286
1.62214E-4,21.008389084,0.388975613,0.231143794,0.142857143,0.285714286
1.64666E-4,21.253848947,0.392547147,0.229653185,0.142857143,0.285714286
1.66673E-4,21.502454212,0.395439116,0.228162576,0.142857143,0.285714286
1.68606E-4,21.753947658,0.39819984,0.226671967,0.142857143,0.285714286
1.71154E-4,22.009133859,0.401798478,0.225181357,0.142857143,0.285714286
1.72703E-4,22.267198949,0.403966286,0.223690748,0.142857143,0.285714286
1.74398E-4,22.510419046,0.406319605,0.222299513,0.142857143,0.285714286
1.75893E-4,22.755571766,0.40838099,0.220908278,0.142857143,0.285714286
1.77899E-4,23.003506992,0.411123077,0.219517043,0.142857143,0.285714286
