X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,4.8514590853526615E-4,91.79887070349565,0.668199936918794
2.0,2.0,train,3.00706845190225E-4,47.59380762506487,0.5552092279395681
3.0,3.0,train,4.3606934394067355E-4,80.74713841897058,0.6441463626143951
4.0,4.0,train,3.5463520500036093E-4,59.48581443800425,0.5954867989751848
5.0,5.0,train,3.1806985109457755E-4,50.92069526327862,0.5690254683231124
6.0,6.0,train,2.2954935798074437E-4,32.41004885146702,0.4879331568956102
7.0,7.0,train,7.256948950319938E-5,8.37918240351912,0.23150185874690254
8.0,8.0,train,3.5866006519282776E-4,60.657407911440195,0.5982022910982603
9.0,9.0,train,2.7582270978031135E-4,41.76191024001057,0.5337892923131123
10.0,10.0,train,2.620264628485459E-4,38.91207518088916,0.5210003087459311
11.0,11.0,train,2.2957864269840733E-4,32.41778829131935,0.48796503004017255
12.0,12.0,train,2.2088698618222963E-4,30.75362408829289,0.4783276815613047
13.0,13.0,train,2.556803858390319E-4,37.67993603408005,0.5148789435529112
15.0,15.0,train,4.4456325665163726E-4,83.04289679815437,0.6485559002370894
16.0,16.0,train,2.0295227997668022E-4,27.61483023309148,0.4572486545328756
18.0,18.0,train,3.350332706255982E-4,54.94388804501366,0.5817192345638011
19.0,19.0,train,5.530833532971522E-4,97.79120092458342,0.696590406395549
20.0,20.0,train,4.3218752074624837E-4,79.62676289363668,0.642094096782925
21.0,21.0,train,5.671732298546084E-4,98.26244584167965,0.7018807527504687
22.0,22.0,train,4.3299729139421726E-4,79.78539880312572,0.6425241628497559
23.0,23.0,train,3.050437820738679E-4,48.48184897526801,0.5587425926899959
24.0,24.0,train,2.5806049743152485E-4,38.10401628960077,0.51719302464519
25.0,25.0,train,1.7513376500283664E-4,23.252667022880356,0.42095731275530235
26.0,26.0,train,4.462283429139059E-4,83.46318215269896,0.6494075345783756
27.0,27.0,train,2.3134605045088113E-4,32.745426854579456,0.4898813374702384
28.0,28.0,train,9.301287919030789E-5,11.18467325906733,0.27855173797846067
29.0,29.0,train,3.3246474006683467E-4,54.27249340251874,0.5798454515680859
30.0,30.0,train,3.901225302330207E-4,68.47903851696961,0.6182356234369968
31.0,31.0,train,5.302386680773241E-4,96.83419655846929,0.6876020506176622
32.0,32.0,train,7.41229586946424E-5,8.627390256153918,0.2352915076169588
33.0,33.0,train,4.744270545186552E-4,89.90281605925546,0.6632280839002003
34.0,34.0,train,2.1848529113916332E-4,30.52875495877543,0.4756003645076311
35.0,35.0,train,3.95747415858123E-4,69.86459749696353,0.6216085586124662
36.0,36.0,train,1.7738738165189077E-4,23.69719882648925,0.4240770113041117
37.0,37.0,train,5.165711222171323E-4,96.0129959778199,0.681965273659521
38.0,38.0,train,2.650326646400807E-4,39.5167605490473,0.5238464599800039
39.0,39.0,train,4.692036677580939E-4,88.86351848244243,0.660750864948873
40.0,40.0,train,5.356758445683281E-4,97.18294074882263,0.6897892883424761
41.0,41.0,train,4.4813831919018437E-4,83.91653654250561,0.6503793531991603
43.0,43.0,train,1.8690822750640454E-4,24.969830074776723,0.4368940488995311
44.0,44.0,train,7.694715482203932E-5,9.033835071476306,0.24208617479289818
45.0,45.0,train,2.719683780251248E-4,40.84403517445982,0.5302856256511614
46.0,46.0,train,4.602171513360614E-4,86.77885448325154,0.656402583932844
47.0,47.0,train,2.4550932791874363E-4,35.59183713672641,0.5047348888854171
48.0,48.0,train,3.9911748570329317E-4,71.03870241210593,0.6236010032219117
49.0,49.0,train,1.5125080932270284E-4,19.66771305698994,0.38569245845437755
50.0,50.0,train,1.9108439807066446E-4,25.759319930289415,0.442337786165976
51.0,51.0,train,7.847441791774833E-5,9.222684776365,0.2457105181263173
52.0,52.0,train,3.977138021367573E-4,70.46559029360184,0.6227736761091918
53.0,53.0,train,6.36265539669576E-4,99.5951718567531,0.7253628361505714
54.0,54.0,train,3.38875793855039E-4,55.744121326993294,0.5844914181432785
55.0,55.0,train,5.900798892129331E-4,99.27844921601186,0.710098629710079
56.0,56.0,train,4.387469399295284E-4,81.47790916619603,0.6455483080300793
57.0,57.0,train,4.495948272417751E-4,84.1945281772484,0.6511168286635134
58.0,58.0,train,2.6104135473034514E-4,38.68672952060634,0.5200602316708458
59.0,59.0,train,2.1375650265733977E-4,29.707515692073496,0.4701462294009949
60.0,60.0,train,3.9327177149606207E-4,69.19077009453177,0.620131422469859
61.0,61.0,train,2.528348360154922E-4,36.885878134627276,0.5120830552743602
63.0,63.0,train,4.5711986357907855E-4,86.29193159341796,0.654877963526274
64.0,64.0,train,3.509998166540329E-4,58.54923119057505,0.5930023331782398
67.0,67.0,train,2.5986403561921505E-4,38.48371303862824,0.5189318783710437
69.0,69.0,train,1.6945741858205912E-4,22.515915618027908,0.41294765623502877
70.0,70.0,train,3.7660265863678446E-4,65.04427901609503,0.6098771503482895
14.0,14.0,test,4.160253391376045E-4,75.77472290578812,0.6332886626261054
17.0,17.0,test,5.614667292822348E-4,98.07920275227498,0.6997605114710722
42.0,42.0,test,4.570014861759787E-4,86.24930440404896,0.6548194245072719
62.0,62.0,test,2.2907866156360527E-4,32.28565200219285,0.48742031141339515
65.0,65.0,test,2.777222125585616E-4,42.228279057952264,0.535496822770262
66.0,66.0,test,1.6768485834420035E-4,22.18606960548897,0.4104008714000649
68.0,68.0,test,2.4486465760649776E-4,35.40662845331264,0.5040776144942972
