x,y,species min
219.0,219.0,0.31622213
220.0,220.0,0.3480411
221.0,221.0,0.019863982
222.0,222.0,0.43298188
223.0,223.0,1.8444056E-4
224.0,224.0,0.1574254
225.0,225.0,0.0034468397
226.0,226.0,0.0010772302
227.0,227.0,0.35779262
228.0,228.0,0.02154185
229.0,229.0,0.5708705
230.0,230.0,0.0019992471
231.0,231.0,0.019743832
232.0,232.0,0.016771238
233.0,233.0,0.00313357
234.0,234.0,0.07548117
235.0,235.0,8.934505E-5
236.0,236.0,8.4355194E-4
237.0,237.0,0.58101964
238.0,238.0,4.6335472E-7
239.0,239.0,0.07777213
240.0,240.0,0.0015641944
241.0,241.0,0.0034052788
242.0,242.0,0.64149386
243.0,243.0,0.0043875966
244.0,244.0,0.4475387
245.0,245.0,0.36040395
246.0,246.0,0.6430201
247.0,247.0,0.0153181115
248.0,248.0,0.0024366856
249.0,249.0,5.169897E-4
250.0,250.0,0.051622618
251.0,251.0,3.931796E-4
252.0,252.0,0.12968837
253.0,253.0,8.217756E-7
254.0,254.0,5.3267414E-4
255.0,255.0,4.7080717E-5
256.0,256.0,0.6635129
257.0,257.0,1.8152647E-5
258.0,258.0,0.0043553347
259.0,259.0,6.2105764E-4
260.0,260.0,0.5346742
261.0,261.0,1.4333715E-9
262.0,262.0,0.6383504
263.0,263.0,0.43428844
264.0,264.0,0.026360841
265.0,265.0,0.058950827
266.0,266.0,0.44151816
267.0,267.0,1.5099037E-4
268.0,268.0,0.0020169676
269.0,269.0,0.1845136
270.0,270.0,0.01123756
271.0,271.0,0.009364665
272.0,272.0,3.0446285E-4
273.0,273.0,0.017739855
274.0,274.0,0.016905386
275.0,275.0,0.45168698
276.0,276.0,0.05283564
277.0,277.0,0.004406763
278.0,278.0,0.048356354
279.0,279.0,5.430911E-4
280.0,280.0,7.3143326E-8
281.0,281.0,0.0032164706
282.0,282.0,0.00614944
283.0,283.0,0.0030359826
284.0,284.0,0.010167481
285.0,285.0,0.46055663
286.0,286.0,0.0015054123
287.0,287.0,7.5340955E-5
288.0,288.0,0.017903851
289.0,289.0,0.18019585
290.0,290.0,0.09723042
291.0,291.0,0.10924384
292.0,292.0,0.051781416
293.0,293.0,0.62124366
294.0,294.0,0.0044330982
295.0,295.0,0.021360358
296.0,296.0,0.024899153
297.0,297.0,2.4414566E-4
298.0,298.0,0.2763149
299.0,299.0,5.402027E-4
300.0,300.0,0.04647305
301.0,301.0,0.021902887
302.0,302.0,2.9910757E-7
303.0,303.0,0.59348804
304.0,304.0,0.57847285
305.0,305.0,0.053235926
306.0,306.0,0.08878572
307.0,307.0,0.07915162
308.0,308.0,0.0073353066
309.0,309.0,0.6338305
310.0,310.0,0.00410268
311.0,311.0,0.51631236
312.0,312.0,2.959682E-4
313.0,313.0,0.5807289
314.0,314.0,0.6082918
315.0,315.0,0.23968185
316.0,316.0,0.011284675
317.0,317.0,0.14898384
318.0,318.0,0.5956624
319.0,319.0,0.011902387
320.0,320.0,0.0027751455
321.0,321.0,0.48371544
322.0,322.0,4.084856E-4
323.0,323.0,1.3612771E-4
324.0,324.0,0.5448914
325.0,325.0,0.21122935
326.0,326.0,4.473635E-8
327.0,327.0,0.5719109
328.0,328.0,0.44949263
329.0,329.0,0.66440034
330.0,330.0,0.35990533
331.0,331.0,0.19169013
332.0,332.0,0.3429832
333.0,333.0,0.0013917974
334.0,334.0,0.2574979
335.0,335.0,0.31868106
336.0,336.0,0.011894122
337.0,337.0,0.58693165
338.0,338.0,0.13467078
339.0,339.0,8.0637477E-4
340.0,340.0,0.1083606
341.0,341.0,1.2244319E-6
342.0,342.0,0.0015426975
343.0,343.0,0.12750061
344.0,344.0,0.34609088
345.0,345.0,0.06574678
346.0,346.0,0.63880956
347.0,347.0,0.42887488
348.0,348.0,0.0010054021
349.0,349.0,0.5719155
350.0,350.0,0.25305033
351.0,351.0,0.25923997
352.0,352.0,0.014303547
353.0,353.0,0.27245247
354.0,354.0,0.24346349
355.0,355.0,0.51139426
356.0,356.0,0.011104606
357.0,357.0,0.030727396
358.0,358.0,0.37624246
359.0,359.0,0.03224552
360.0,360.0,2.8999344E-5
361.0,361.0,0.11239374
362.0,362.0,0.47057107
363.0,363.0,0.64460325
364.0,364.0,0.07212884
365.0,365.0,0.21204212
366.0,366.0,0.0028924944
367.0,367.0,0.041248582
368.0,368.0,3.3804536E-4
369.0,369.0,0.63472146
370.0,370.0,3.1226172E-4
371.0,371.0,3.963812E-4
372.0,372.0,0.5259249
373.0,373.0,0.028554682
374.0,374.0,0.40702787
375.0,375.0,0.6380364
376.0,376.0,0.6723144
377.0,377.0,0.57718474
378.0,378.0,0.21433027
379.0,379.0,0.01115938
380.0,380.0,0.012650854
381.0,381.0,0.3795857
382.0,382.0,0.35124937
383.0,383.0,6.182063E-4
384.0,384.0,0.03248194
385.0,385.0,0.038378567
386.0,386.0,0.073105074
387.0,387.0,0.0085469475
388.0,388.0,0.05305628
389.0,389.0,0.0047607
390.0,390.0,0.008496559
391.0,391.0,0.084988974
392.0,392.0,0.0013615849
393.0,393.0,0.016228128
394.0,394.0,2.7068204E-4
395.0,395.0,0.44747573
396.0,396.0,0.2680321
397.0,397.0,7.306407E-4
398.0,398.0,0.001840879
399.0,399.0,0.0011357835
400.0,400.0,1.3929683E-4
401.0,401.0,0.0073886393
402.0,402.0,0.045529094
403.0,403.0,0.53955376
404.0,404.0,0.02396602
405.0,405.0,0.00738563
406.0,406.0,0.3493099
407.0,407.0,0.59361017
408.0,408.0,1.1618253E-6
409.0,409.0,0.6325265
410.0,410.0,0.0031221127
411.0,411.0,0.41491914
412.0,412.0,7.823448E-4
413.0,413.0,1.9374271E-7
414.0,414.0,0.03742522
415.0,415.0,0.3315358
416.0,416.0,0.14152199
417.0,417.0,0.21259974
418.0,418.0,0.009242857
419.0,419.0,9.579854E-9
420.0,420.0,0.05646891
421.0,421.0,0.4891345
422.0,422.0,0.065169364
423.0,423.0,1.0040495E-4
424.0,424.0,0.12597053
425.0,425.0,0.0263013
426.0,426.0,0.3007314
427.0,427.0,0.06842564
428.0,428.0,0.2149007
429.0,429.0,0.4035723
430.0,430.0,0.24483074
431.0,431.0,4.7184993E-4
432.0,432.0,0.10657773
433.0,433.0,0.5480122
434.0,434.0,0.008174818
435.0,435.0,0.0052371523
436.0,436.0,0.009366333
437.0,437.0,0.19677064
438.0,438.0,0.042123538
439.0,439.0,0.48835176
440.0,440.0,1.09729815E-4
441.0,441.0,0.014719172
442.0,442.0,0.4286938
443.0,443.0,0.27271914
444.0,444.0,0.01746726
445.0,445.0,0.0067792227
446.0,446.0,0.08152462
447.0,447.0,0.5969691
448.0,448.0,5.4042812E-5
449.0,449.0,0.24540477
450.0,450.0,0.1553141
451.0,451.0,0.09688948
452.0,452.0,0.29588708
453.0,453.0,0.45076135
454.0,454.0,0.48559776
455.0,455.0,1.4298221E-5
456.0,456.0,0.52023107
457.0,457.0,0.24911715
458.0,458.0,0.31771818
459.0,459.0,0.001060016
460.0,460.0,0.0011129718
461.0,461.0,0.2406075
462.0,462.0,6.7113924E-6
463.0,463.0,1.549671E-4
464.0,464.0,0.2611596
465.0,465.0,0.5988794
466.0,466.0,0.010076118
467.0,467.0,0.004499581
468.0,468.0,0.52809227
469.0,469.0,0.16215445
470.0,470.0,0.470205
471.0,471.0,3.5121205E-4
472.0,472.0,0.0068548694
473.0,473.0,0.08008999
474.0,474.0,0.64826405
475.0,475.0,0.4635968
476.0,476.0,0.05156776
477.0,477.0,0.36836442
478.0,478.0,0.005101492
479.0,479.0,3.927363E-4
480.0,480.0,0.015448084
481.0,481.0,0.054227468
482.0,482.0,0.012495034
483.0,483.0,0.3435302
484.0,484.0,0.29124072
485.0,485.0,0.048723467
486.0,486.0,0.5229592
487.0,487.0,0.0015917586
488.0,488.0,0.5692155
489.0,489.0,0.013869715
490.0,490.0,0.20396678
491.0,491.0,0.48128638
492.0,492.0,0.2284204
493.0,493.0,0.16568771
494.0,494.0,0.33532557
495.0,495.0,0.022306161
496.0,496.0,0.026630593
497.0,497.0,0.13611208
498.0,498.0,2.4669254E-4
499.0,499.0,0.02382696
500.0,500.0,0.6313861
501.0,501.0,2.4694848E-4
502.0,502.0,0.33535442
503.0,503.0,6.2190974E-4
504.0,504.0,0.032289043
505.0,505.0,0.19430158
506.0,506.0,6.298468E-4
507.0,507.0,5.784382E-6
508.0,508.0,0.4650881
509.0,509.0,0.26166102
510.0,510.0,0.42161956
511.0,511.0,0.37492424
512.0,512.0,0.17542489
513.0,513.0,0.012179343
514.0,514.0,9.299825E-4
515.0,515.0,0.12169641
516.0,516.0,0.5130556
517.0,517.0,0.05315005
518.0,518.0,0.17858648
519.0,519.0,0.064874336
520.0,520.0,0.03400068
521.0,521.0,1.7357321E-6
522.0,522.0,0.15120253
523.0,523.0,0.36233947
524.0,524.0,0.5673274
525.0,525.0,3.1053077E-4
526.0,526.0,0.004277084
527.0,527.0,0.09735413
528.0,528.0,0.005749589
529.0,529.0,0.40642786
530.0,530.0,2.5440535E-5
531.0,531.0,0.031614963
532.0,532.0,0.27125487
533.0,533.0,0.14183459
534.0,534.0,0.34658754
535.0,535.0,0.2097474
536.0,536.0,0.0035750188
537.0,537.0,1.356695E-7
538.0,538.0,1.3018312E-4
539.0,539.0,0.0040196953
540.0,540.0,0.49840036
541.0,541.0,0.3024422
542.0,542.0,0.5232946
543.0,543.0,0.60727954
544.0,544.0,0.09760024
545.0,545.0,0.0067731715
546.0,546.0,0.32605612
547.0,547.0,5.178823E-4
548.0,548.0,0.67983127
549.0,549.0,0.6575663
550.0,550.0,0.12622184
551.0,551.0,0.1280201
552.0,552.0,0.0022676836
553.0,553.0,0.106888115
554.0,554.0,0.011572188
555.0,555.0,0.006144117
556.0,556.0,0.0033567504
557.0,557.0,0.008327351
558.0,558.0,0.46939802
559.0,559.0,0.018204436
560.0,560.0,0.0036210634
561.0,561.0,0.0882466
562.0,562.0,0.25479415
563.0,563.0,0.001726545
564.0,564.0,1.663554E-4
565.0,565.0,6.4164004E-4
566.0,566.0,0.31620538
567.0,567.0,0.20924434
568.0,568.0,7.797242E-4
569.0,569.0,0.066045254
570.0,570.0,0.31530136
571.0,571.0,4.4877506E-5
572.0,572.0,0.052288417
573.0,573.0,0.10768606
574.0,574.0,0.012530965
575.0,575.0,0.0075828927
576.0,576.0,0.08623703
577.0,577.0,0.0013949334
578.0,578.0,0.1972639
579.0,579.0,0.013094123
580.0,580.0,1.3991702E-13
581.0,581.0,0.63903856
582.0,582.0,9.6281985E-4
583.0,583.0,0.52430815
584.0,584.0,0.29851124
585.0,585.0,0.013061438
586.0,586.0,0.001696922
587.0,587.0,0.031683166
588.0,588.0,0.39758557
589.0,589.0,0.049383577
590.0,590.0,0.6139968
591.0,591.0,0.0010806355
592.0,592.0,9.6456024E-5
593.0,593.0,0.17329755
594.0,594.0,1.9990184E-4
595.0,595.0,2.3271399E-8
596.0,596.0,0.22715333
597.0,597.0,0.23384656
598.0,598.0,0.013803284
599.0,599.0,0.3328745
600.0,600.0,0.2851936
601.0,601.0,0.15637103
602.0,602.0,0.10901088
603.0,603.0,0.020042583
604.0,604.0,1.2542708E-4
605.0,605.0,0.06304942
606.0,606.0,4.3650877E-4
607.0,607.0,0.19384241
608.0,608.0,9.3152584E-4
609.0,609.0,0.04363726
610.0,610.0,0.03097238
611.0,611.0,0.07137329
612.0,612.0,1.2578518E-4
613.0,613.0,0.019491848
614.0,614.0,9.778683E-4
615.0,615.0,0.0010276011
616.0,616.0,0.0021625848
617.0,617.0,1.12472364E-4
618.0,618.0,0.012799584
619.0,619.0,0.031793658
620.0,620.0,3.230186E-5
621.0,621.0,0.29838982
622.0,622.0,0.6124694
623.0,623.0,9.069263E-4
624.0,624.0,0.11868319
625.0,625.0,2.3726525E-5
626.0,626.0,0.12956941
627.0,627.0,0.0044961255
628.0,628.0,6.674485E-5
629.0,629.0,0.23950276
630.0,630.0,8.6166074E-5
631.0,631.0,0.48377156
632.0,632.0,0.0053945775
633.0,633.0,9.2076045E-4
634.0,634.0,0.016675903
635.0,635.0,0.18326609
636.0,636.0,0.5422856
637.0,637.0,0.0010495492
638.0,638.0,0.12869145
639.0,639.0,0.010263044
640.0,640.0,1.1487351E-4
641.0,641.0,0.0019957668
642.0,642.0,0.041732896
643.0,643.0,0.71820647
644.0,644.0,0.19649236
645.0,645.0,0.0061328905
646.0,646.0,2.3935936E-5
647.0,647.0,0.54522675
