"X1st","Median","X3rd"
0.181868814805396,0.098458422269089,0.0373787276186813
0.183919488193209,0.0995667947256756,0.0381732341921155
0.180353442497144,0.097990575263441,0.0373945986263001
0.181056047800032,0.098569870357732,0.0376990725707295
0.181667768420076,0.0982947732840264,0.0368893396001987
0.183252550703909,0.0994953269033044,0.0380243972275076
0.181786620157559,0.0971726518924182,0.0361203541677918
0.181674018092298,0.0986408941907839,0.0380341976452175
0.182073900970911,0.0982547521839993,0.0372934550023597
0.180939256218925,0.0972374761613062,0.0359964640890327
0.181433440053623,0.097154578058606,0.0365262015148447
0.181855041080929,0.0994443749640682,0.0392630064907833
0.180798252743904,0.0975724163632168,0.0367976871104863
0.179036310967775,0.095962819048852,0.0364963283282295
0.182289575151617,0.098525311753006,0.037934662176641
0.181081479936207,0.0965104998216847,0.0360404237021989
0.182721302807532,0.0991723727079565,0.0369933377103866
0.182057822757141,0.097561276741465,0.0367996839114886
0.180792002978228,0.0973131902167068,0.036266053965883
0.181190096503882,0.0973836326867753,0.0367770967848313
0.179103294572314,0.0965918322353431,0.0359417677045192
0.182933940362232,0.0985338566362281,0.0367486194286543
0.182762827210286,0.0989163226403473,0.037345089560756
0.178374742140171,0.0960770557537084,0.0367442629058633
0.181679277950691,0.0979440336165252,0.0365169712701146
0.179390548291986,0.0971947369985517,0.0367219318188595
0.183064058012999,0.0988356987047398,0.0373974264593103
0.17952027270868,0.0970200047254892,0.0372989251471919
0.180416861236545,0.0978365113509963,0.0372583898554549
0.180431407589814,0.0975701275211927,0.0366453242152927
